Audio,JulgamentoN,JulgamentoE,Item
1.mp3,Normal,Estranho,1
2.mp3,Normal,Estranho,2
3.mp3,Normal,Estranho,3
4.mp3,Normal,Estranho,4
5.mp3,Normal,Estranho,5
6.mp3,Normal,Estranho,6
7.mp3,Normal,Estranho,7
8.mp3,Normal,Estranho,8
9.mp3,Normal,Estranho,9
10.mp3,Normal,Estranho,10
11.mp3,Normal,Estranho,11
12.mp3,Normal,Estranho,12
13.mp3,Normal,Estranho,13
14.mp3,Normal,Estranho,14
15.mp3,Normal,Estranho,15
16.mp3,Normal,Estranho,16
17.mp3,Normal,Estranho,17
18.mp3,Normal,Estranho,18
19.mp3,Normal,Estranho,19
20.mp3,Normal,Estranho,20
21.mp3,Normal,Estranho,21
22.mp3,Normal,Estranho,22
23.mp3,Normal,Estranho,23
24.mp3,Normal,Estranho,24
25.mp3,Normal,Estranho,25
26.mp3,Normal,Estranho,26
27.mp3,Normal,Estranho,27
28.mp3,Normal,Estranho,28
29.mp3,Normal,Estranho,29
30.mp3,Normal,Estranho,30
31.mp3,Normal,Estranho,31
32.mp3,Normal,Estranho,32
33.mp3,Normal,Estranho,33
34.mp3,Normal,Estranho,34
35.mp3,Normal,Estranho,35
36.mp3,Normal,Estranho,36
37.mp3,Normal,Estranho,37
38.mp3,Normal,Estranho,38
